date,month,day,close,closer,diff,perc,country,garb
2020-04-20,04,20,2823.159912,2823,-52,-1.808695652,United_States_of_America,
2020-04-21,04,21,2736.560059,2737,-86,-3.046404534,United_States_of_America,
2020-04-22,04,22,2799.310059,2799,62,2.265253928,United_States_of_America,
2020-04-23,04,23,2797.800049,2798,-1,-0.03572704537,United_States_of_America,
2020-04-24,04,24,2836.739990,2837,39,1.393852752,United_States_of_America,
2020-04-27,04,27,2878.479980,2878,41,1.445188579,United_States_of_America,
2020-04-28,04,28,2863.389893,2863,-15,-0.5211952745,United_States_of_America,
2020-04-29,04,29,2939.510010,2940,77,2.689486553,United_States_of_America,
2020-04-30,04,30,2912.429932,2912,-28,-0.9523809524,United_States_of_America,
2020-05-01,05,01,2830.709961,2831,-81,-2.781593407,United_States_of_America,
2020-05-04,05,04,2842.739990,2843,12,0.4238784882,United_States_of_America,
2020-05-05,05,05,2868.439941,2868,25,0.8793527963,United_States_of_America,
2020-05-06,05,06,2848.419922,2848,-20,-0.6973500697,United_States_of_America,
2020-05-07,05,07,2881.189941,2881,33,1.158707865,United_States_of_America,
2020-05-08,05,08,2929.800049,2930,49,1.700798334,United_States_of_America,
2020-05-11,05,11,2930.189941,2930,0,0,United_States_of_America,
2020-05-12,05,12,2870.120117,2870,-60,-2.04778157,United_States_of_America,
2020-05-13,05,13,2820.000000,2820,-50,-1.742160279,United_States_of_America,
2020-05-14,05,14,2852.500000,2853,33,1.170212766,United_States_of_America,
2020-05-15,05,15,2863.699951,2864,11,0.3855590606,United_States_of_America,
2020-01-02,01,02,9691.200195,9691,0,0,Spain,
2020-01-03,01,03,9646.599609,9647,-44,-0.4540295119,Spain,
2020-01-06,01,06,9600.900391,9601,-46,-0.4768321758,Spain,
2020-01-07,01,07,9579.799805,9580,-21,-0.2187272159,Spain,
2020-01-08,01,08,9591.400391,9591,11,0.114822547,Spain,
2020-01-09,01,09,9581.799805,9582,-9,-0.0938379731,Spain,
2020-01-10,01,10,9573.599609,9574,-8,-0.08348987685,Spain,
2020-01-13,01,13,9543.900391,9544,-30,-0.3133486526,Spain,
2020-01-14,01,14,9528.299805,9528,-16,-0.1676445935,Spain,
2020-01-15,01,15,9511.700195,9512,-16,-0.1679261125,Spain,
2020-01-16,01,16,9572.500000,9573,61,0.6412952061,Spain,
2020-01-17,01,17,9681.299805,9681,108,1.128172987,Spain,
2020-01-20,01,20,9658.799805,9659,-22,-0.2272492511,Spain,
2020-01-21,01,21,9611.299805,9611,-48,-0.4969458536,Spain,
2020-01-22,01,22,9573.700195,9574,-37,-0.3849755489,Spain,
2020-01-23,01,23,9518.500000,9519,-55,-0.5744725298,Spain,
2020-01-24,01,24,9562.000000,9562,43,0.4517281227,Spain,
2020-01-27,01,27,9366.299805,9366,-196,-2.049780381,Spain,
2020-01-28,01,28,9484.200195,9484,118,1.259876148,Spain,
2020-01-29,01,29,9546.700195,9547,63,0.6642766765,Spain,
2020-01-30,01,30,9477.900391,9478,-69,-0.7227401278,Spain,
2020-01-31,01,31,9367.900391,9368,-110,-1.160582401,Spain,
2020-02-03,02,03,9404.700195,9405,37,0.3949615713,Spain,
2020-02-04,02,04,9562.900391,9563,158,1.679957469,Spain,
2020-02-05,02,05,9717.799805,9718,155,1.620830283,Spain,
2020-02-06,02,06,9811.299805,9811,93,0.9569870344,Spain,
2020-02-07,02,07,9811.000000,9811,0,0,Spain,
2020-02-10,02,10,9816.000000,9816,5,0.05096320457,Spain,
2020-02-11,02,11,9882.599609,9883,67,0.6825590872,Spain,
2020-02-12,02,12,9940.400391,9940,57,0.576747951,Spain,
2020-02-13,02,13,9909.799805,9910,-30,-0.3018108652,Spain,
2020-02-14,02,14,9956.799805,9957,47,0.4742684157,Spain,
2020-02-17,02,17,10022.200195,10022,65,0.6528070704,Spain,
2020-02-18,02,18,10005.799805,10006,-16,-0.1596487727,Spain,
2020-02-19,02,19,10083.599609,10084,78,0.7795322806,Spain,
2020-02-20,02,20,9931.000000,9931,-153,-1.517255058,Spain,
